trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.8, 'e': 0.5566166524310581}",20,0,-59.438058932759404,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.5454843193824369}",20,6,-36.057055995184,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.8, 'e': 0.5345746329947881}",30,12,2.734251255690353,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.5238831403348924}",30,0,-129.97945337219818,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.8, 'e': 0.5134054775281945}",30,16,-91.54958588536097,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
34,False,"{'a': 0.8, 'e': 0.5031373679776306}",25,11,-18.957181931442374,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.493074620618078}",20,3,-40.0159188270619,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
36,False,"{'a': 0.8, 'e': 0.48321312820571644}",25,11,-18.640385053185597,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.4735488656416021}",20,5,-1.5667789353439046,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.46407788832877006}",20,0,-102.69064345113512,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.8, 'e': 0.45479633056219465}",25,0,-85.1012496599603,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.8, 'e': 0.44570040395095073}",25,0,-75.10791243425788,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.8, 'e': 0.4367863958719317}",30,6,-96.95799584838893,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
42,False,"{'a': 0.8, 'e': 0.42805066795449304}",25,8,-23.454667599620667,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.8, 'e': 0.41948965459540316}",20,0,-34.28824562544848,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.4110998615034951}",20,3,18.0712988448636,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.4028778642734252}",30,0,-69.67578901843184,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.39482030698795667}",25,0,-7.57389948889622,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.38692390084819756}",20,0,7.012539840390667,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.3791854228312336}",25,0,-78.97980733053784,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
49,False,"{'a': 0.8, 'e': 0.37160171437460887}",25,2,-37.97636290826534,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.8, 'e': 0.3641696800871167}",20,2,-24.557294520255414,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.35688628648537435}",20,0,5.9171936328409265,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.8, 'e': 0.34974856075566685}",20,0,-7.546426512342618,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.8, 'e': 0.3427535895405535}",20,12,12.945897621134431,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.33589851774974244}",25,17,2.0870364823376795,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.3291805473947476}",25,0,10.864580537650532,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
